,Service,Relational Database Service($),Tax($),Savings Plans for  Compute usage($),EC2-Other($),Support (Business)($),VPC($),OpenSearch Service($),CloudWatch($),EC2-Instances($),ElastiCache($),S3($),DocumentDB (with MongoDB compatibility)($),Managed Streaming for Apache Kafka($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Glacier($),SES($),EC2 Container Registry (ECR)($),Elastic Container Service for Kubernetes($),Elastic Load Balancing($),CloudTrail($),Key Management Service($),CloudFront($),SageMaker($),Rekognition($),DynamoDB($),Cost Explorer($),Lambda($),Secrets Manager($),SQS($),SNS($),Route 53($),Service Catalog($),Glue($),Athena($),Direct Connect($),Config($),AppFlow($),Systems Manager($),Simple Workflow Service($),Step Functions($),CloudShell($),Elastic File System($),CodeArtifact($),Backup($),Migration Hub Refactor Spaces($),Location Service($),Refund($),Total costs($)
60,2023-05-30,336.5573357671,,129.456,79.3824059648,,28.4568039131,28.1820474766,18.0069740264,28.8641456687,20.6534401518,14.3019330326,6.7330699708,,9.12,1.9104729412,3.570579434,0.048838464,2.232,2.7471815322,0.14727852,0.84934752,2.2853949982,2.7038713198,0.504525,0.0991008,,0.0492499986,0.00166005,0.0111425301,0.0083981011,,0.022134,0.00251472,,,,,,1.176e-06,1.1241e-06,0.0,,,,,,,716.9078482012
61,2023-05-31,336.8184137473,,129.456,79.5973252422,,28.4792976132,28.182046925,17.946229007,31.2541075676,23.1625801562,14.7794433621,6.7330842075,,9.14,1.9104729085,3.8754042358,0.0553831472,2.232,2.7232981241,0.19815231,0.86398665,1.7049759155,2.7030084013,0.783525,0.0991008,,0.0479575411,0.0012555,0.0110061207,0.008238088,,0.011067,0.00220038,,,,,,8.82e-07,8.576e-07,0.0,,,,,,,722.7795616899
62,2023-06-01,340.124228666,4718.22,129.456,81.4298187533,2767.086083405,27.8762437897,28.2345577996,20.9545783096,32.9688506112,29.7116401528,15.0666403214,6.7331456056,,9.16,1.9741551958,2.3374869971,0.0572431008,2.232,2.5606458713,0.16530378,0.7881905016,0.2324991653,2.7033949092,0.2359875,0.082584,,0.0309654261,0.0004185,0.012308828,0.0011604001,,0.0,0.00219852,,,,,,9.033e-07,1.0447e-06,,,,,,,-193.7,8026.7383320575
63,2023-06-02,340.3606547418,,129.456,77.2330210687,,27.6706898438,28.2345596682,22.4484966335,34.5249591151,32.743440144,13.8473233593,6.7329847517,,9.12,1.9741552014,2.3413298213,0.0580420018,2.232,2.5585821426,0.0218178,0.4860083916,0.2607905802,2.7033420914,0.220875,0.0991008,,0.0477178961,0.0004185,0.0122154376,0.009225113,,0.0,0.00222549,,,,,,9.033e-07,1.0116e-06,0.0,,,,,,,735.399977508
64,2023-06-03,336.5491007011,,129.456,89.7189438414,,27.597902012,28.2345601701,22.8723686797,34.4749766758,32.7434401446,16.5329126187,6.7326763798,,9.12,1.9741552519,2.3342696547,0.0588728568,2.232,2.5065810092,0.28346772,1.2225879216,1.1232613323,,0.2894625,0.0991008,,0.0482433119,0.00033015,0.0112891392,0.0101721347,,,0.0019158,,,,,,6.022e-07,1.1121e-06,,,,,,,,746.2285925198
65,2023-06-04,336.7118703828,,129.456,83.6366948596,,27.1531837192,28.2345572423,22.2644123761,34.4749779364,32.743440147,15.3294167036,6.7332969494,,9.12,1.9741551377,2.3240923893,0.0588728568,2.232,2.4198981224,0.18008892,0.8232133716,1.0494793046,,0.0430125,0.0991008,,0.0506211272,0.00033015,0.0093759432,0.006944082,,0.0,0.00059148,,,,,,3.011e-07,2.769e-07,,,,,,,,737.1296270792
66,2023-06-05,336.8273799985,,129.456,78.3651862093,,27.5873706639,43.8798030372,22.7556033478,34.5276588731,32.7434401494,14.7018737106,6.7328305116,,9.12,1.9741550038,2.3334993901,0.0588728568,2.232,2.5221820306,0.07369878,0.6198893316,1.1747595271,2.7033950968,0.15345,0.0991008,,0.049482435,0.00033945,0.0097215312,0.0077795743,,0.0,0.00122853,,,,,,6.022e-07,5.837e-07,0.0,,,,,,,750.7107020246
67,2023-06-06,336.7821524629,,129.456,84.8442420509,,27.6898813601,49.094934379,23.1991258102,34.3733288749,32.7434401518,15.2848464717,6.7334183326,,9.1,1.9741550038,2.3315154809,0.0594469908,2.232,2.5652904052,0.1571979,0.7198745616,1.3232567887,2.6990169871,0.1953,0.0991008,,0.0482146996,0.0003348,0.0095671389,0.0066941321,,0.0,0.00055986,,,,,,8.82e-07,2.773e-07,,,,,,,,763.7228966021
68,2023-06-07,336.107129092,,129.456,85.4165922721,,27.6222336811,49.0949391168,23.3668524172,34.4749783984,32.7434401542,14.6791190355,6.7325203717,,9.12,1.9741550038,2.334810797,0.0627958602,2.232,2.5523597389,0.15638322,0.7132538916,1.2937440897,2.7034417602,0.248775,0.0991008,,0.0480034162,0.00041385,0.0109208469,0.0077423301,,0.0,0.00232965,,,,,,8.82e-07,1.0743e-06,0.0,,,,,,,763.2540367499
69,2023-06-08,343.6520497472,,129.456,85.9861181918,,27.5135058601,49.0949263884,23.1230213478,34.4749780103,32.7434401554,13.7095202433,6.7334518254,,9.12,1.9741546791,2.3305950163,0.0639486264,2.232,2.5197175516,0.05971809,0.4901320116,0.971488397,2.7032747654,0.1825125,0.0991008,,0.0477248252,0.00151125,0.0095348462,0.0078431469,,0.0,0.00013299,,,,,,8.82e-07,6.76e-08,,,,,,,,769.300402215
70,2023-06-09,379.2809541354,,129.456,81.7859777877,,27.3663722586,49.0949170555,22.8001258519,34.4801793842,32.7434401542,14.1267522013,6.7326200378,,9.12,1.9741550038,2.4761510299,0.0639486264,2.232,2.4827793202,0.10937079,0.6998730516,0.9225147468,2.7000946995,0.1778625,0.0991008,,0.0482151351,0.00245055,0.0111723759,0.0075537277,,0.0,0.00155217,,,,,,8.82e-07,7.557e-07,0.0,,,,,,,800.9961350312
71,2023-06-10,386.5145021188,,129.456,82.5079557406,,26.9346591184,49.0949170689,22.2847993706,34.3670971088,32.7434401548,13.4333873247,6.7328445093,,9.1,1.9741553247,2.473081225,0.0639486264,2.232,2.3816415795,0.07208523,0.4843595016,0.9355070887,,0.0337125,0.0991008,,0.0512661789,0.0015903,0.0113515654,0.007396598,,0.0,0.00172329,,,,,,1.176e-06,7.862e-07,0.0,,,,,,,803.9925242853
72,2023-06-11,392.5897038955,,129.456,83.206756882,,26.7619751663,49.0949196187,21.9822419145,34.1376624582,32.7434401518,12.9311179088,6.7326878871,,9.08,1.9741557147,2.4289066324,0.0639486264,2.232,2.3368924042,0.06589422,0.4796834616,0.8435957549,,0.0313875,0.0991008,,0.0522149989,0.00166935,0.0111439893,0.0071302963,,0.0,0.00173724,,,,,,8.82e-07,9.16e-07,,,,,,,,809.3459686696
73,2023-06-12,392.3762588722,,129.456,83.320264341,,27.3707216428,49.094925859,23.0314415813,34.4749766815,32.743440153,13.3756064386,6.7331784166,,9.12,1.9741552542,2.8215474013,0.0649600142,2.232,2.4490355032,0.14129583,0.7226617716,0.9718850722,2.7033814068,0.1336875,0.0991008,,0.0499439398,0.0014229,0.011478718,0.0077374544,,0.0,0.00185535,,,,,,1.176e-06,8.359e-07,,,,,,,,815.4829649136
74,2023-06-13,392.3091830371,,129.456,83.8403772789,,27.3512765339,49.0949522767,23.0662743532,34.0776224369,32.7434401506,13.1676524383,6.7330043271,,9.08,1.9741545462,2.7849084809,0.065564762,2.232,2.4667703787,0.14337996,0.6830660916,1.0602869712,2.703434602,0.090675,0.0991008,,0.0484178355,0.00110205,0.0108402373,0.0074275051,,0.0,0.00185535,,,,,,1.176e-06,8.421e-07,0.0,,,,,,,815.2927694213
75,2023-06-14,392.4530499254,,129.456,85.2474280233,,28.0000494051,49.0949688969,24.6289962882,33.7824143856,32.7434401482,12.9204064463,6.7327745968,,9.12,1.974154687,3.475297718,0.0670440186,2.232,2.6304450569,0.11793516,0.7135161516,1.3005881145,2.7032590654,0.3987375,0.0991008,,0.0480581633,0.00066495,0.0097507208,0.0073475147,,0.0,0.00081003,,,,,,8.82e-07,7.126e-07,0.0,,,,,,,819.9582393612
76,2023-06-15,392.6265802178,,129.456,86.3213039133,,27.6567246522,49.0949992792,24.5363946674,33.3377374618,32.7434401464,12.9690629581,6.7329404238,,9.1,1.9741548758,3.0888152766,0.0836333649,2.232,2.5510916286,0.13443336,0.7162085016,1.0735048141,2.7026861699,0.1918125,0.0991008,,0.048835926,0.00067425,0.0110079521,0.0074559974,,0.0,0.00138942,,,,,,8.82e-07,7.217e-07,0.0,,,,,,,819.4919901607
77,2023-06-16,392.2820436915,,129.456,87.4882372595,,27.5073522777,53.0232563411,24.12446437,33.3634523459,32.743440147,12.8997692284,8.7917069067,,9.1,1.9741550694,3.0432282225,0.1458527256,2.232,2.520385628,0.14396493,0.7127516916,1.068799285,2.7033917688,0.1987875,0.0991008,,0.0479890874,0.0003348,0.011505645,0.0080933609,,0.0,0.00184326,,,,,,5.88e-07,8.49e-07,,,,,,,,825.691907779
78,2023-06-17,391.3741559176,,129.456,88.5922883055,,27.3854349272,56.0140481921,23.7073334148,33.3836114004,32.7434401482,12.6340126701,13.4124157088,,9.12,1.9741553159,2.944465526,0.0800649094,2.232,2.4890575248,0.11099457,0.6974959716,1.0312862492,,0.22785,0.0991008,,0.048055209,0.00033015,0.0109759029,0.0073217182,,0.0,0.00164796,,,,,,5.88e-07,7.543e-07,,,,,,,,829.777543834
79,2023-06-18,386.4218088161,,129.456,87.2392059389,,26.8745963398,56.0140452295,23.1847035243,33.3836112917,32.7434401458,12.8087209117,13.4121448856,,9.12,1.9741549519,2.4614342138,0.0801969744,2.232,2.364696196,0.15539277,0.7094260116,0.7852279789,,0.03255,0.0991008,,0.0483126465,0.00041385,0.0106210149,0.0074138414,,0.0,0.00204135,,,,,,5.88e-07,7.538e-07,,,,,,,,821.6212610246
80,2023-06-19,386.5160862304,,129.456,83.7803545943,,27.4714877064,56.0140616456,24.0121123301,33.3836113444,32.743440144,12.4950080599,13.4124162566,,9.12,1.9741551255,2.8972463879,0.0813988476,2.232,2.4996893752,0.14301726,0.7133822316,1.0083105732,2.7033984272,0.174375,0.0991008,,0.0473896557,0.00016275,0.0113147663,0.007366165,,,0.0018879,,,,,,2.941e-07,8.326e-07,,,,,,,,822.9987747036
81,2023-06-20,386.6362160791,,129.456,83.739503656,,27.9788879546,56.0140643243,24.4929838908,33.1392842255,32.743440144,12.3734397468,13.412651075,,9.1,1.9741548821,2.9701960172,0.0866878973,2.232,2.5220596988,0.14409978,0.6991825768,1.0536971449,2.7033647007,0.1499625,0.0991008,,0.0476984484,0.0006045,0.0113301205,0.0075823815,,0.0,0.00174468,,,,,,5.88e-07,6.92e-07,2.354e-06,,,,,,,823.7899408583
82,2023-06-21,387.0061223494,,129.456,84.9938848334,,28.5102985264,56.0140657263,25.4608225604,33.1588086788,32.743440144,12.9513114218,13.41191876,,9.12,1.9741546838,3.9504746232,0.0960490486,2.232,2.7030550343,0.1807641,0.9266931266,1.2908378654,2.703369537,0.5359125,0.0991008,,0.0485256512,0.00100905,0.0099267005,0.0069990899,,0.022134,0.00100068,,,,,,1.176e-06,4.049e-07,2.3153e-06,,,,,,,829.6086833872
83,2023-06-22,386.8864986769,,129.456,85.1529436324,,30.8753620378,56.0787722088,27.7186946747,33.3836115359,32.7434401446,12.4676601183,13.4123800668,,9.12,1.9741557008,3.6063310621,0.1016578781,2.232,2.6681183696,0.17638659,0.7030606782,1.2787727053,2.7034035754,0.3406125,0.0991008,,0.0483671946,0.0023529,0.0118283422,0.0081981465,,0.022134,0.00150474,,,,,,8.82e-07,6.156e-07,,,,,,,,833.2733497766
84,2023-06-23,386.958242804,,129.456,85.3104144141,,29.6824007032,56.1112816302,27.9871264172,33.3836112944,32.7434401458,12.3050230463,13.41235056,,9.12,1.9741555812,3.3417307691,0.102807984,2.232,2.6140430804,0.12210063,0.7193081916,1.2511913572,2.7027687551,0.299925,0.0991008,,0.0479141446,0.0020925,0.0122754276,0.0078699052,,0.022134,0.00147219,,,,,,1.176e-06,5.856e-07,,,,,,,,832.0227830928
85,2023-06-24,387.4575075893,,129.456,85.4717210812,,29.541187556,56.1113068262,26.1137102242,33.3836112974,32.7434401446,11.7124300391,13.4121536708,,9.12,1.9741556616,2.4952951029,0.1053170551,2.232,2.3912792459,0.09825543,0.6732983016,0.7953262229,,0.0755625,0.0991008,,0.0486295981,0.00192045,0.0121276854,0.0072728235,,0.022134,0.00144615,,,,,,8.82e-07,5.856e-07,,,,,,,,825.5561909234
86,2023-06-25,387.6565139962,,129.456,86.2458290272,,28.3033089366,56.1113042769,26.1120393739,33.3836112737,32.7434401458,11.7167423486,13.4124400484,,9.12,1.9741557076,2.4375610881,0.1060238488,2.232,2.3524706779,0.09382305,0.7028192916,0.7659542363,,0.0244125,0.0991008,,0.0485569681,0.00183675,0.0116503898,0.0067272606,,0.022134,0.00121272,,,,,,8.82e-07,5.197e-07,,,,,,,,825.1416701178
87,2023-06-26,9491.7407922114,1644.87,129.456,87.643918885,,27.9395748786,56.1113008973,26.8599033938,33.3836113239,32.743440144,12.1900661961,13.4123644933,,9.12,1.9741556603,3.1068105201,0.1061250936,2.232,2.5325864482,0.20485947,0.7153491816,1.0535940609,2.6998910278,0.15345,0.0991008,,0.0492285357,0.0015066,0.0123362608,0.0086692213,,0.022134,0.00146289,,,,,,1.176e-06,5.856e-07,,,,,,,,11580.4442339553
88,2023-06-27,344.3797250179,,129.456,89.372278294,,28.0673080011,56.1112229249,28.0754954149,33.5500821721,32.7434401446,11.7063814444,13.4124280721,,9.12,1.9741555194,3.2849913751,0.1767325908,2.232,2.5666914848,0.1510692,0.7463572416,1.4373036265,2.7014756911,0.19065,0.0991008,,0.0489120993,0.0009114,0.0194785248,0.0084719836,,0.022134,0.0014508,,,,,,8.82e-07,5.856e-07,,,,,,,,791.6562492906
89,2023-06-28,344.1642133024,,129.456,91.0320610957,,28.4505987884,56.1110919906,28.2486947533,33.3836113797,32.743440147,11.4433555452,13.4121635967,,9.12,1.9741553843,3.4761230596,0.1092711456,2.232,2.6348663579,0.14680701,0.7495378416,1.6119386238,2.7027887891,0.279,0.0991008,,0.0486146475,0.0005022,0.022492333,0.0087161121,,,0.00146289,,,,,,8.82e-07,6.02e-07,,,,,,,,793.6626092775
90,2023-06-29,344.5275017928,,129.456,91.6425019933,,28.025274909,56.1110997876,21.3210578893,33.2545150253,32.7434401488,11.2424487919,13.4117370897,,9.12,1.974155985,2.706890607,0.1114127914,2.232,2.5031141869,0.13239387,0.7424651916,1.3879903761,2.7033778257,0.0778875,0.0991008,,0.04839935,0.00066495,0.0222740078,0.0083295982,,0.022134,0.00141267,,,,,,8.82e-07,6.006e-07,,,,,,,,785.62958262
91,2023-06-30,344.6587571605,,129.456,92.8851616428,,28.3572914546,56.1111023186,21.3950453311,33.3836115595,32.7434401494,11.2020924046,13.4125230837,,9.12,1.9741558339,3.5811383449,0.1126312819,2.232,2.6787648879,0.14079921,0.7543282716,1.5901488339,2.7034082872,0.332475,0.0991008,,0.0481577804,0.0005115,0.0228513476,0.0088824088,,0.022134,0.00154566,,,,,,1.1724e-06,6.006e-07,2.1815e-06,,,,,,,789.0280625074
92,2023-07-01,341.5124118854,4536.81,129.456,90.3426169554,2053.3801436554,27.6854488662,55.9845206985,24.9182378924,33.383611561,32.743440147,10.8681601666,13.4122206242,,9.12,1.9104734887,2.2454999991,0.1094876916,2.232,2.5171497124,0.1268241,0.72673539,0.1850260514,,0.18135,0.0,,0.0297844851,0.0005859,0.022170606,0.0036875284,,0.0,0.00135408,,,,,,6.022e-07,6.156e-07,,,,,,,-143.74,7226.1689427026
93,2023-07-02,341.6160229227,,129.456,90.2358264054,,27.2344036051,55.984521447,26.4421489738,33.383611538,32.7434401488,10.6981591712,13.4119915409,,9.12,1.9104737403,2.2495395822,0.10937868,2.232,2.4325486029,0.1275216,0.69750456,0.1912484287,,0.0313875,0.082584,,0.0481653348,0.00074865,0.022089932,0.008517654,,0.0,0.0013578,,,,,,9.033e-07,6.02e-07,,,,,,,,780.4711933231
94,2023-07-03,341.8204459941,,129.456,90.3906100895,,27.7968062324,55.9844630605,27.5960430644,33.3836115117,32.7434401482,10.607125391,13.4123351572,,9.12,1.9104736765,2.2631398435,0.10937868,2.232,2.5874852112,0.09356265,0.70880685,0.2334844242,2.6933767376,0.1453125,0.0991008,,0.048409886,0.00066495,0.018490832,0.0091427821,,0.0,0.00147312,,,,,,9.033e-07,6.17e-07,,,,,,,,785.4651851124
95,2023-07-04,342.1174403653,,129.456,90.339128852,,28.1265261961,55.9844481383,27.5400411435,32.3058043774,32.7434401458,10.8926758787,13.412520592,,9.16,1.9104736754,2.2669604537,0.1096261479,2.232,2.668289988,0.17640147,0.68614368,1.5243530928,2.702524192,0.15345,0.0991008,,0.0536434586,0.0005859,0.016050834,0.0101221309,,0.0,0.00144987,,,,,,9.033e-07,6.334e-07,,,,,,,,786.6892029191
96,2023-07-05,342.1455008618,,129.456,90.5060139828,,28.2891127177,55.9844461302,28.3229435945,27.8172510767,23.041680172,10.4327104657,13.4123533314,,9.12,1.9104734772,2.2802853898,0.1098867678,2.232,2.675255835,0.13866765,0.71184237,1.0602116647,2.6933605991,0.225525,0.0991008,,0.0520468164,0.00066495,0.016063904,0.0092612216,,0.0,0.00139965,,,,,,9.033e-07,6.02e-07,,,,,,,,772.7440599337
97,2023-07-06,325.8535774967,,129.456,83.8286036149,,28.0356795381,55.9844310676,27.9113447322,27.7556850314,18.1908001836,9.968376575,13.4121845933,,9.1,1.9104715934,2.2637590458,0.1100067335,2.232,2.6211628118,0.12205413,0.70727235,1.0356632398,2.7007196049,0.299925,0.0991008,,0.0497198316,0.0018414,0.0126835924,0.0076040695,,0.0,0.00119412,,,,,,9.033e-07,5.03e-07,,,,,,,,743.6718625618
98,2023-07-07,319.2014666427,,129.456,76.1498855325,,28.1326001173,55.984430345,27.5446656537,27.8172509811,18.1908001872,9.775414794,13.4121870474,,9.12,1.9104730912,2.263544707,0.11143503,2.232,2.6581768064,0.02695047,0.54078468,1.3180137568,2.7030245375,0.206925,0.0991008,,0.0481365959,0.00158565,0.0141426929,0.00811756,,0.0,0.00085653,,,,,,8.82e-07,3.642e-07,2.6268e-06,,,,,,,728.9279730816
99,2023-07-08,319.373482398,,129.456,76.7382868376,,27.8214478466,55.9844428861,27.3863941044,27.8172510035,18.1908001866,11.2096867509,13.4122256588,,9.12,1.9104730972,2.4325686888,0.1130119272,2.232,2.4457311422,0.19828809,0.95310204,0.7969349178,,0.0313875,0.0991008,,0.0483164679,0.00066495,0.0135420712,0.0075068708,,0.0,0.00030318,,,,,,8.82e-07,1.183e-07,,,,,,,,727.7929504159
100,2023-07-09,319.451061515,,129.456,76.8239951706,,28.19805504,55.9844472548,26.7646802601,27.8172510802,18.1908001848,10.5599297951,13.4124117993,,9.12,1.9104731434,2.4221810152,0.1130119272,2.232,2.4204024331,0.11830158,0.69773334,0.717233598,,0.0465,0.0991008,,0.0478926779,0.00024645,0.0130520502,0.0070715982,,0.0,8.37e-05,,,,,,5.88e-07,5.07e-08,,,,,,,,726.6239170518
101,2023-07-10,319.3017267762,,129.456,77.1104909214,,28.816702945,55.984447842,28.5801420067,27.8172508708,18.190800186,10.4988209677,13.41225931,,9.12,1.9104729689,3.3250893797,0.1138348663,2.232,2.5774138148,0.1265637,0.6989721,1.0211757662,2.7000814241,0.188325,0.0991008,,0.0473652033,0.0001674,0.0133332628,0.0075206402,,0.0,6.045e-05,,,,,,2.941e-07,1.69e-08,,,,,,,,733.3501189131
102,2023-07-11,319.0408260593,,129.456,77.6417741289,,29.4775008675,55.9844329821,29.9697224982,27.9346626431,18.190800189,11.0066800674,13.4124325423,,9.12,1.910473092,3.4293024543,0.117819444,2.232,2.6979841814,0.15013734,0.83903568,1.6028472378,2.7021515682,0.3289875,0.0991008,,0.049785615,0.00027435,0.0132447268,0.0070494301,,0.0,8.463e-05,,,,,,5.88e-07,5.07e-08,2.1816e-06,,,,,,,737.4151128477
103,2023-07-12,318.8128892454,,129.456,78.9413172594,,29.8402231906,55.9844112658,31.0563973343,28.4123196555,18.1908001872,11.3874195984,13.412003444,,9.12,1.910472709,3.9890654965,0.1200206449,2.232,2.7880165796,0.14957841,0.86398944,2.2994417788,2.7034387925,0.4940625,0.0991008,,0.0518016677,7.905e-05,0.0129872834,0.0082089147,,0.0,4.836e-05,,,,,,2.941e-07,3.38e-08,,,,,,,,742.3360939356
104,2023-07-13,319.0051304796,,129.456,80.0254685065,,30.4673429005,55.9844100898,30.2836655231,27.9529986244,18.1908001872,11.8111948743,13.4124790766,,9.12,1.9104729581,3.52874987,0.1206430361,2.232,2.783386747,0.17059362,0.85654293,3.0353872189,2.7018651008,0.406875,0.0991008,,0.0484931863,0.00060915,0.013706437,0.0078255947,,0.0,0.00022785,,,,,,8.82e-07,1.183e-07,,,,,,,,743.6259707612
105,2023-07-14,320.8689286455,,129.456,81.0231545573,,30.1820588694,55.9844115729,30.5552742045,31.784980895,18.1908001872,11.8677242521,13.4118551813,,9.12,1.9104728909,3.3485499686,0.1207970304,2.232,2.6437894741,0.16939206,0.84668028,1.931467659,2.6726877014,0.28365,0.0991008,,0.0477126291,0.0002418,0.0131427794,0.0075997215,,0.0,0.00011067,,,,,,,1.69e-08,1.3874e-06,,,,,,,748.7725852339
106,2023-07-15,322.4036806254,,129.456,81.5166595107,,29.6007076452,55.9844130671,30.3498171153,33.1075575923,18.1908001872,11.9917999737,13.4123676583,,9.12,1.9104729729,2.8219474131,0.1207970304,2.232,2.4970333997,0.16763994,0.84047532,1.2019045664,,0.1476375,0.0991008,,0.0480658659,0.00019995,0.0129538034,0.0071235228,,0.0,0.0002046,,,,,,2.941e-07,3.38e-08,0.0,,,,,,,747.2413603877
107,2023-07-16,324.1528325609,,129.456,81.4872803611,,29.3808618049,55.984414024,30.1695573193,33.1075575863,18.1908001872,12.1669960625,13.4124046408,,9.12,1.910473093,2.4275820657,0.1207970304,2.232,2.4221206783,0.16373952,0.83231178,0.9314197131,,0.044175,0.0991008,,0.0484014705,0.0009207,0.013370893,0.0072305598,,0.0,0.00031713,,,,,,1.176e-06,1.343e-07,,,,,,,,747.8826662911
108,2023-07-17,325.817752906,,129.456,82.723545223,,29.9382674779,55.9844120012,30.9009243726,30.2336506324,18.1908001872,12.3193149899,13.4121488561,,9.16,1.9104730821,2.9482416351,0.1212837613,2.232,2.5872561588,0.16616217,0.84951492,1.2277541048,2.7279721627,0.2057625,0.0991008,,0.0480617293,0.0007626,0.0139126026,0.0085902795,,0.0,0.00029016,,,,,,8.82e-07,1.503e-07,,,,,,,,753.2839563448
109,2023-07-18,335.275941602,,129.456,83.4931850729,,30.8591310175,55.9844685852,30.6637365203,20.2465147056,18.1908001872,12.507154872,13.4126078376,,9.12,1.9104727232,3.2606991758,0.1223003566,2.232,2.6860470346,0.17442057,0.85202034,2.108103748,2.7284662178,0.2243625,0.0991008,,0.0483478938,0.00084165,0.0141525814,0.0092089019,,0.0,0.00031248,,,,,,8.82e-07,1.69e-07,,,,,,,,755.6803984244
110,2023-07-19,345.0962636912,,129.456,83.7938305969,,30.4519198451,55.9845193655,30.3002604231,19.9424292738,18.1908001872,12.3280496654,13.4118723498,,9.12,1.910472956,3.2976271702,0.1227643008,2.232,2.6439337448,0.14604534,0.7791567,1.4289613993,2.727533648,0.239475,0.0991008,,0.0483532166,0.0023436,0.0149698238,0.0080666988,,0.0,0.00093837,,,,,,8.82e-07,4.111e-07,,,,,,,,763.7776894594
111,2023-07-20,346.5909990975,,129.456,83.861805798,,30.6183705435,55.9845507749,30.9061091793,20.0498911597,18.1908001884,12.7411148478,13.4124496752,,9.12,1.9104725097,3.7208690882,0.1227643008,2.232,2.7116268013,0.18364989,0.86617122,1.4575544011,2.7277143546,0.4057125,0.0991008,,0.0485326206,0.002511,0.0141938708,0.0082796055,,0.0,0.00110298,,,,,,1.176e-06,4.58e-07,2.3937e-06,,,,,,,767.4443512346
112,2023-07-21,348.4676068542,,129.456,83.6628382116,,29.7981109636,55.9844849884,30.3695819513,20.1296527873,18.190800192,11.3911686269,13.4119477348,,9.12,1.9104719986,3.0268428042,0.123052155,2.232,2.6072550597,0.02343321,0.47584185,1.2712065503,2.7277640013,0.1615875,0.0991008,,0.0482795976,0.00226455,0.0133657598,0.0081262204,,0.0,0.00105183,,,,,,1.176e-06,4.299e-07,,,,,,,,764.7138378029
113,2023-07-22,350.1329830734,,129.456,83.3379094159,,30.1668401214,55.9844640126,29.7669427495,20.0498908918,18.190800192,13.1424061696,13.4125850028,,9.12,1.9104725122,2.4474073552,0.1231735445,2.232,2.4818826382,0.18955632,0.92651055,1.5506257833,,0.0616125,0.0991008,,0.0484184121,0.00234825,0.0146774709,0.0079502239,,0.0,0.00113181,,,,,,8.82e-07,4.806e-07,2.3435e-06,,,,,,,764.8576935054
114,2023-07-23,351.6507673418,,129.456,80.5396854943,,28.8860503946,55.9844649815,29.3241115948,20.1295914856,18.1908001914,12.9028758358,13.4123378562,,9.12,1.9104721954,2.3919290946,0.1331907738,2.232,2.3702819707,0.22163481,0.85555248,0.7160612628,,0.0267375,0.0991008,,0.0485091349,0.00275745,0.0146277396,0.0080441141,,0.0,0.0013671,,,,,,1.176e-06,5.556e-07,,,,,,,,760.6289533335
115,2023-07-24,353.1259363117,,129.456,76.1715381993,,29.8648132123,55.9844628318,30.5291248794,20.1877169195,18.1908001896,12.7536855073,13.4121848816,,9.12,1.9104721894,2.9907401921,0.124417281,2.232,2.5844225869,0.16834209,0.84061482,2.1108917464,2.7280971352,0.1395,0.0991008,,0.0481343744,0.00099975,0.0116126044,0.0075149563,,0.001302,0.00046872,,,,,,8.82e-07,2.01e-07,,,,,,,,764.7948952616
116,2023-07-25,354.7808467414,,129.456,77.1675818467,,29.7929243379,55.9844646787,31.4453098741,23.4795860915,18.1908001896,12.7613744965,13.411959531,,9.12,1.9104723843,2.8806370027,0.1260869056,2.232,2.552382841,0.16426683,0.82917024,1.225301367,2.7292456618,0.10695,0.0991008,,0.0479307838,0.00150195,0.012111495,0.0076442941,,0.002604,0.00051987,,,,,,1.176e-06,2.694e-07,,,,,,,,770.5187756581
117,2023-07-26,356.3571571174,,129.456,78.3911940681,,33.674424759,55.984464363,31.9940380307,25.3306721282,18.7032301885,13.2768003005,13.4125043145,,9.12,1.9104725124,3.0006514573,0.1265815882,2.232,2.6391175348,0.16915398,0.92625945,1.9925008376,2.7248917301,0.192975,0.0991008,,0.0482189057,0.001674,0.0120833201,0.0074546335,,0.022134,0.00053196,,,,,,5.88e-07,1.352e-07,,,,,,,,781.8062877028
118,2023-07-27,357.8915880567,,129.456,79.578765421,,29.9850473424,55.9844659555,32.1592054974,25.3306710123,17.2980001908,13.1771422916,13.4121977577,,9.12,1.9104722527,2.9524303349,0.1271677153,2.232,2.5725107534,0.16802775,0.8342313,1.4288817414,2.7222798035,0.12555,0.0991008,,0.0543778538,0.00033015,0.0115731916,0.0072823974,,0.022134,0.00050778,,,,,,5.88e-07,2.197e-07,,,,,,,,778.6619421571
119,2023-07-28,359.4978786338,,129.456,80.8631356568,,30.1053582843,55.9844689126,32.1806569962,25.3306705055,17.2980001872,13.2883884119,13.4123967754,,9.12,1.9104723177,2.9616093018,0.1277032789,2.232,2.6283580735,0.17068755,0.83435685,2.1044853983,2.7286192799,0.17205,0.0991008,,0.0578767212,0.0013578,0.0117190351,0.0078811884,,0.022134,0.00053103,,,,,,1.176e-06,2.197e-07,,,,,,,,782.6078983842
