month,project,lineItem/UnblendedCost
2025-01,DataPrivacyCompliancePlatform,527193.9708170342
2025-01,FeatureRolloutManager,39835.06189654982
2025-01,GlobalCICDPlatform,285320.44629841193
2025-01,GlobalDataLakehouse,527822.3069370562
2025-01,GlobalECommerceInfrastructure,294569.7664032743
2025-01,GlobalPaymentProcessingPlatform,286667.5526674064
2025-01,HealthcareDataInteroperabilityHub,529675.4064210927
2025-01,OmniChannelCustomerExperience,286032.78986343584
2025-01,RegulatoryReportingDataWarehouse,283497.1240793501
2025-01,SmartFactoryIoTPlatform,540115.2689414128
2025-02,ClinicalTrialsManagementPlatform,487428.8315646248
2025-02,DataPrivacyCompliancePlatform,479286.8991273255
2025-02,FeatureRolloutManager,34714.516558181305
2025-02,GlobalCICDPlatform,239285.81745937068
2025-02,GlobalDataLakehouse,484455.7951054138
2025-02,GlobalECommerceInfrastructure,248411.07315626898
2025-02,GlobalPaymentProcessingPlatform,249887.80069602217
2025-02,HealthcareDataInteroperabilityHub,485465.7213110746
2025-02,OmniChannelCustomerExperience,241134.44896655076
2025-02,RegulatoryReportingDataWarehouse,254582.53824082902
2025-02,SmartFactoryIoTPlatform,495431.67042957834
2025-03,ClinicalTrialsManagementPlatform,168487.4268186542
2025-03,DataPrivacyCompliancePlatform,164267.29965632188
2025-03,FeatureRolloutManager,11830.561882301812
2025-03,GlobalCICDPlatform,76580.61982927745
2025-03,GlobalDataLakehouse,164429.5819228526
2025-03,GlobalECommerceInfrastructure,89385.1604462097
2025-03,GlobalPaymentProcessingPlatform,83851.44565171836
2025-03,HealthcareDataInteroperabilityHub,169594.48293182784
2025-03,OmniChannelCustomerExperience,79035.50687667173
2025-03,RegulatoryReportingDataWarehouse,85428.42353260415
2025-03,SmartFactoryIoTPlatform,167540.22901086367
