resourceId,key,value
cloudwatchlogs-resource-e44533a8,ScheduledDowntime,nights
cloudwatchlogs-resource-e44533a8,BudgetAlert,high
cloudwatchlogs-resource-e44533a8,AllowSpotInstance,true
cloudwatchlogs-resource-e44533a8,ServiceTier,cloudwatchlogs-enterprise
cloudwatchlogs-resource-e44533a8,CostAllocation,Shared
cloudwatchlogs-resource-e44533a8,AllocationMethod,proportional
cloudwatchlogs-resource-e44533a8,ChargebackEntity,Pharma
cloudwatchlogs-resource-e44533a8,ShowbackCategory,Production
appsync-resource-e6097b85,Name,HealthcareDataInteroperabilityHub-AppSync
appsync-resource-e6097b85,Project,HealthcareDataInteroperabilityHub
appsync-resource-e6097b85,BusinessUnit,Pharma
appsync-resource-e6097b85,Environment,Production
appsync-resource-e6097b85,CostCenter,Pharma-2290
appsync-resource-e6097b85,UseCase,Enterprise Integration
appsync-resource-e6097b85,DataClassification,restricted
appsync-resource-e6097b85,Owner,team-devops@example.com
appsync-resource-e6097b85,SecurityLevel,critical
appsync-resource-e6097b85,ManagedBy,Manual
appsync-resource-e6097b85,OptimizationPriority,availability
appsync-resource-e6097b85,ServiceTier,appsync-basic
appsync-resource-e6097b85,Team,Security
appsync-resource-e6097b85,CostAllocation,Direct
appsync-resource-e6097b85,ChargebackEntity,Pharma
appsync-resource-e6097b85,ShowbackCategory,Production
appsync-resource-3e9b384f,Name,HealthcareDataInteroperabilityHub-AppSync
appsync-resource-3e9b384f,Project,HealthcareDataInteroperabilityHub
appsync-resource-3e9b384f,BusinessUnit,Pharma
appsync-resource-3e9b384f,Environment,Production
appsync-resource-3e9b384f,CostCenter,Pharma-2982
appsync-resource-3e9b384f,UseCase,Enterprise Integration
appsync-resource-3e9b384f,BackupFrequency,none
appsync-resource-3e9b384f,SecurityLevel,medium
appsync-resource-3e9b384f,CreatedBy,SDK
appsync-resource-3e9b384f,DeploymentGroup,blue
appsync-resource-3e9b384f,OptimizationPriority,cost
appsync-resource-3e9b384f,CostAllocation,Direct
appsync-resource-3e9b384f,ChargebackEntity,Pharma
appsync-resource-3e9b384f,ShowbackCategory,Production
appsync-resource-5149516e,Name,HealthcareDataInteroperabilityHub-AppSync
appsync-resource-5149516e,Project,HealthcareDataInteroperabilityHub
appsync-resource-5149516e,BusinessUnit,Pharma
appsync-resource-5149516e,Environment,Production
appsync-resource-5149516e,CostCenter,Pharma-2160
appsync-resource-5149516e,UseCase,Enterprise Integration
appsync-resource-5149516e,BackupFrequency,hourly
appsync-resource-5149516e,AutoShutdown,nights
appsync-resource-5149516e,Department,Engineering
appsync-resource-5149516e,Compliance:HIPAA,not-required
appsync-resource-5149516e,ComplianceStatus,exempted
appsync-resource-5149516e,AutoScaling,disabled
appsync-resource-5149516e,DeploymentGroup,blue
appsync-resource-5149516e,AllowSpotInstance,true
appsync-resource-5149516e,ServiceTier,appsync-basic
appsync-resource-5149516e,CostAllocation,Direct
appsync-resource-5149516e,ChargebackEntity,Pharma
appsync-resource-5149516e,ShowbackCategory,Production
apigateway-resource-0143a2c2,Name,HealthcareDataInteroperabilityHub-APIGateway
apigateway-resource-0143a2c2,Project,HealthcareDataInteroperabilityHub
apigateway-resource-0143a2c2,BusinessUnit,Pharma
apigateway-resource-0143a2c2,Environment,Production
apigateway-resource-0143a2c2,CostCenter,Pharma-4872
apigateway-resource-0143a2c2,UseCase,Enterprise Integration
apigateway-resource-0143a2c2,AutoShutdown,true
apigateway-resource-0143a2c2,Department,IT
apigateway-resource-0143a2c2,Compliance:GDPR,out-of-scope
apigateway-resource-0143a2c2,Compliance:SOX,out-of-scope
apigateway-resource-0143a2c2,AutoScaling,enabled
apigateway-resource-0143a2c2,DeploymentGroup,green
apigateway-resource-0143a2c2,BudgetAlert,medium
apigateway-resource-0143a2c2,Team,DevOps
apigateway-resource-0143a2c2,CostAllocation,Direct
apigateway-resource-0143a2c2,ChargebackEntity,Pharma
apigateway-resource-0143a2c2,ShowbackCategory,Production
apigateway-resource-b96d0a42,Name,HealthcareDataInteroperabilityHub-APIGateway
apigateway-resource-b96d0a42,Project,HealthcareDataInteroperabilityHub
apigateway-resource-b96d0a42,BusinessUnit,Pharma
apigateway-resource-b96d0a42,Environment,Production
apigateway-resource-b96d0a42,CostCenter,Pharma-6138
apigateway-resource-b96d0a42,UseCase,Enterprise Integration
apigateway-resource-b96d0a42,BackupFrequency,hourly
apigateway-resource-b96d0a42,SecurityLevel,low
apigateway-resource-b96d0a42,Compliance:HIPAA,required
apigateway-resource-b96d0a42,Compliance:PCI,in-scope
apigateway-resource-b96d0a42,AutoScaling,enabled
apigateway-resource-b96d0a42,CreatedBy,CLI
apigateway-resource-b96d0a42,Rightsizing,optimized
apigateway-resource-b96d0a42,AllowSpotInstance,false
apigateway-resource-b96d0a42,BudgetAlert,high
apigateway-resource-b96d0a42,Team,Analytics
apigateway-resource-b96d0a42,CostAllocation,Direct
apigateway-resource-b96d0a42,ChargebackEntity,Pharma
apigateway-resource-b96d0a42,ShowbackCategory,Production
apigateway-resource-362463bf,Name,HealthcareDataInteroperabilityHub-APIGateway
apigateway-resource-362463bf,Project,HealthcareDataInteroperabilityHub
apigateway-resource-362463bf,BusinessUnit,Pharma
apigateway-resource-362463bf,Environment,Production
apigateway-resource-362463bf,CostCenter,Pharma-4910
apigateway-resource-362463bf,UseCase,Enterprise Integration
apigateway-resource-362463bf,Version,1.0
apigateway-resource-362463bf,Department,Sales
apigateway-resource-362463bf,Owner,john.doe@example.com
apigateway-resource-362463bf,Compliance:HIPAA,required
apigateway-resource-362463bf,DeploymentGroup,green
apigateway-resource-362463bf,IaC,false
apigateway-resource-362463bf,AllowSpotInstance,false
apigateway-resource-362463bf,OptimizationPriority,availability
apigateway-resource-362463bf,ServiceTier,apigateway-basic
apigateway-resource-362463bf,CostAllocation,Direct
apigateway-resource-362463bf,ChargebackEntity,Pharma
apigateway-resource-362463bf,ShowbackCategory,Production
i-5b1067d2,Name,HealthcareDataInteroperabilityHub-EC2
i-5b1067d2,Project,HealthcareDataInteroperabilityHub
i-5b1067d2,BusinessUnit,Pharma
i-5b1067d2,Environment,Production
i-5b1067d2,CostCenter,Pharma-3442
i-5b1067d2,UseCase,Enterprise Integration
i-5b1067d2,Version,3.0
i-5b1067d2,Compliance:SOX,in-scope
i-5b1067d2,Compliance:PCI,in-scope
i-5b1067d2,IaC,false
i-5b1067d2,Rightsizing,pending-review
i-5b1067d2,OptimizationPriority,performance
i-5b1067d2,PatchGroup,group2
i-5b1067d2,InstanceType,t2.medium
i-5b1067d2,ServiceTier,ec2-basic
i-5b1067d2,CostAllocation,Direct
i-5b1067d2,ChargebackEntity,Pharma
i-5b1067d2,ShowbackCategory,Production
i-90e012cb,Name,HealthcareDataInteroperabilityHub-EC2
i-90e012cb,Project,HealthcareDataInteroperabilityHub
i-90e012cb,BusinessUnit,Pharma
i-90e012cb,Environment,Production
i-90e012cb,CostCenter,Pharma-5065
i-90e012cb,UseCase,Enterprise Integration
i-90e012cb,AutoShutdown,false
i-90e012cb,Compliance:GDPR,in-scope
i-90e012cb,Compliance:SOX,in-scope
i-90e012cb,SecurityLevel,low
i-90e012cb,ManagedBy,Platform
i-90e012cb,BudgetAlert,low
i-90e012cb,Rightsizing,oversized
i-90e012cb,PatchGroup,group1
i-90e012cb,AMI,ami-12345678
i-90e012cb,Team,DataEngineering
i-90e012cb,CostAllocation,Direct
i-90e012cb,ChargebackEntity,Pharma
i-90e012cb,ShowbackCategory,Production
i-e3942da2,Name,HealthcareDataInteroperabilityHub-EC2
i-e3942da2,Project,HealthcareDataInteroperabilityHub
i-e3942da2,BusinessUnit,Pharma
i-e3942da2,Environment,Production
i-e3942da2,CostCenter,Pharma-2776
i-e3942da2,UseCase,Enterprise Integration
i-e3942da2,BackupFrequency,monthly
i-e3942da2,DataClassification,internal
i-e3942da2,ComplianceStatus,compliant
i-e3942da2,Compliance:GDPR,in-scope
i-e3942da2,IaC,true
i-e3942da2,AutoScaling,disabled
i-e3942da2,Rightsizing,optimized
i-e3942da2,BudgetAlert,high
i-e3942da2,PatchGroup,critical
i-e3942da2,AMI,ami-87654321
i-e3942da2,AutoShutdown,false
i-e3942da2,ServiceTier,ec2-enterprise
i-e3942da2,CostAllocation,Direct
i-e3942da2,ChargebackEntity,Pharma
i-e3942da2,ShowbackCategory,Production
dynamodb-table-3b85e2fc,Name,HealthcareDataInteroperabilityHub-DynamoDB
dynamodb-table-3b85e2fc,Project,HealthcareDataInteroperabilityHub
dynamodb-table-3b85e2fc,BusinessUnit,Pharma
dynamodb-table-3b85e2fc,Environment,Production
dynamodb-table-3b85e2fc,CostCenter,Pharma-1475
dynamodb-table-3b85e2fc,UseCase,Enterprise Integration
dynamodb-table-3b85e2fc,AutoShutdown,false
dynamodb-table-3b85e2fc,Owner,john.doe@example.com
dynamodb-table-3b85e2fc,Requestor,product-team@example.com
dynamodb-table-3b85e2fc,SecurityLevel,critical
dynamodb-table-3b85e2fc,ComplianceStatus,non-compliant
dynamodb-table-3b85e2fc,Compliance:HIPAA,not-required
dynamodb-table-3b85e2fc,Compliance:GDPR,in-scope
dynamodb-table-3b85e2fc,CreatedBy,Console
dynamodb-table-3b85e2fc,IaC,false
dynamodb-table-3b85e2fc,OptimizationPriority,availability
dynamodb-table-3b85e2fc,ScheduledDowntime,custom
dynamodb-table-3b85e2fc,Rightsizing,oversized
dynamodb-table-3b85e2fc,BackupPlan,daily
dynamodb-table-3b85e2fc,TableClass,StandardInfrequentAccess
dynamodb-table-3b85e2fc,BillingMode,PROVISIONED
dynamodb-table-3b85e2fc,TTL,enabled
dynamodb-table-3b85e2fc,ServiceTier,dynamodb-standard
dynamodb-table-3b85e2fc,CostAllocation,Shared
dynamodb-table-3b85e2fc,AllocationMethod,direct
dynamodb-table-3b85e2fc,ChargebackEntity,Pharma
dynamodb-table-3b85e2fc,ShowbackCategory,Production
dynamodb-table-a20f6ed5,Name,HealthcareDataInteroperabilityHub-DynamoDB
dynamodb-table-a20f6ed5,Project,HealthcareDataInteroperabilityHub
dynamodb-table-a20f6ed5,BusinessUnit,Pharma
dynamodb-table-a20f6ed5,Environment,Production
dynamodb-table-a20f6ed5,CostCenter,Pharma-5051
dynamodb-table-a20f6ed5,UseCase,Enterprise Integration
dynamodb-table-a20f6ed5,Department,Research
dynamodb-table-a20f6ed5,Compliance:HIPAA,not-required
dynamodb-table-a20f6ed5,SecurityLevel,high
dynamodb-table-a20f6ed5,Compliance:PCI,in-scope
dynamodb-table-a20f6ed5,Compliance:GDPR,in-scope
dynamodb-table-a20f6ed5,ManagedBy,SRE
dynamodb-table-a20f6ed5,AllowSpotInstance,true
dynamodb-table-a20f6ed5,TTL,enabled
dynamodb-table-a20f6ed5,BillingMode,PROVISIONED
dynamodb-table-a20f6ed5,TableClass,Standard
dynamodb-table-a20f6ed5,ServiceTier,dynamodb-basic
dynamodb-table-a20f6ed5,CostAllocation,Shared
dynamodb-table-a20f6ed5,AllocationMethod,direct
dynamodb-table-a20f6ed5,ChargebackEntity,Pharma
dynamodb-table-a20f6ed5,ShowbackCategory,Production
dynamodb-table-43922c3a,Name,HealthcareDataInteroperabilityHub-DynamoDB
dynamodb-table-43922c3a,Project,HealthcareDataInteroperabilityHub
dynamodb-table-43922c3a,BusinessUnit,Pharma
dynamodb-table-43922c3a,Environment,Production
dynamodb-table-43922c3a,CostCenter,Pharma-2983
dynamodb-table-43922c3a,UseCase,Enterprise Integration
dynamodb-table-43922c3a,Version,1.0
dynamodb-table-43922c3a,DataClassification,restricted
dynamodb-table-43922c3a,Department,IT
dynamodb-table-43922c3a,Compliance:GDPR,in-scope
dynamodb-table-43922c3a,Compliance:SOX,out-of-scope
dynamodb-table-43922c3a,ComplianceStatus,non-compliant
dynamodb-table-43922c3a,DeploymentGroup,experiment
dynamodb-table-43922c3a,IaC,false
dynamodb-table-43922c3a,ScheduledDowntime,never
dynamodb-table-43922c3a,Rightsizing,oversized
dynamodb-table-43922c3a,BudgetAlert,medium
dynamodb-table-43922c3a,BackupPlan,continuous
dynamodb-table-43922c3a,ServiceTier,dynamodb-enterprise
dynamodb-table-43922c3a,Team,SRE
dynamodb-table-43922c3a,CostAllocation,Shared
dynamodb-table-43922c3a,AllocationMethod,direct
dynamodb-table-43922c3a,ChargebackEntity,Pharma
dynamodb-table-43922c3a,ShowbackCategory,Production
elasticsearch-resource-412d237a,Name,HealthcareDataInteroperabilityHub-ElasticSearch
elasticsearch-resource-412d237a,Project,HealthcareDataInteroperabilityHub
elasticsearch-resource-412d237a,BusinessUnit,Pharma
elasticsearch-resource-412d237a,Environment,Production
elasticsearch-resource-412d237a,CostCenter,Pharma-7965
elasticsearch-resource-412d237a,UseCase,Enterprise Integration
elasticsearch-resource-412d237a,Compliance:HIPAA,not-required
elasticsearch-resource-412d237a,Compliance:PCI,out-of-scope
elasticsearch-resource-412d237a,Compliance:SOX,in-scope
elasticsearch-resource-412d237a,AutoScaling,disabled
elasticsearch-resource-412d237a,ScheduledDowntime,custom
elasticsearch-resource-412d237a,BudgetAlert,exempt
elasticsearch-resource-412d237a,ServiceTier,elasticsearch-standard
elasticsearch-resource-412d237a,CostAllocation,Direct
elasticsearch-resource-412d237a,ChargebackEntity,Pharma
elasticsearch-resource-412d237a,ShowbackCategory,Production
elasticsearch-resource-54c39eff,Name,HealthcareDataInteroperabilityHub-ElasticSearch
elasticsearch-resource-54c39eff,Project,HealthcareDataInteroperabilityHub
elasticsearch-resource-54c39eff,BusinessUnit,Pharma
elasticsearch-resource-54c39eff,Environment,Production
elasticsearch-resource-54c39eff,CostCenter,Pharma-5102
elasticsearch-resource-54c39eff,UseCase,Enterprise Integration
elasticsearch-resource-54c39eff,Version,stable
elasticsearch-resource-54c39eff,Compliance:PCI,out-of-scope
elasticsearch-resource-54c39eff,DeploymentGroup,main
elasticsearch-resource-54c39eff,BudgetAlert,exempt
elasticsearch-resource-54c39eff,OptimizationPriority,balanced
elasticsearch-resource-54c39eff,Rightsizing,optimized
elasticsearch-resource-54c39eff,ServiceTier,elasticsearch-enterprise
elasticsearch-resource-54c39eff,Team,Platform
elasticsearch-resource-54c39eff,CostAllocation,Direct
elasticsearch-resource-54c39eff,ChargebackEntity,Pharma
elasticsearch-resource-54c39eff,ShowbackCategory,Production
elasticsearch-resource-d77bc102,Name,HealthcareDataInteroperabilityHub-ElasticSearch
elasticsearch-resource-d77bc102,Project,HealthcareDataInteroperabilityHub
elasticsearch-resource-d77bc102,BusinessUnit,Pharma
elasticsearch-resource-d77bc102,Environment,Production
elasticsearch-resource-d77bc102,CostCenter,Pharma-6403
elasticsearch-resource-d77bc102,UseCase,Enterprise Integration
elasticsearch-resource-d77bc102,AutoShutdown,true
elasticsearch-resource-d77bc102,Requestor,team-devops@example.com
elasticsearch-resource-d77bc102,Compliance:HIPAA,required
elasticsearch-resource-d77bc102,Compliance:GDPR,out-of-scope
elasticsearch-resource-d77bc102,AutoScaling,enabled
elasticsearch-resource-d77bc102,CreatedBy,CLI
elasticsearch-resource-d77bc102,BudgetAlert,exempt
elasticsearch-resource-d77bc102,ScheduledDowntime,weekends
elasticsearch-resource-d77bc102,Rightsizing,pending-review
elasticsearch-resource-d77bc102,ServiceTier,elasticsearch-premium
elasticsearch-resource-d77bc102,CostAllocation,Direct
elasticsearch-resource-d77bc102,ChargebackEntity,Pharma
elasticsearch-resource-d77bc102,ShowbackCategory,Production
lambda-function-3f46b1b5f908,Name,HealthcareDataInteroperabilityHub-Lambda
lambda-function-3f46b1b5f908,Project,HealthcareDataInteroperabilityHub
lambda-function-3f46b1b5f908,BusinessUnit,Pharma
lambda-function-3f46b1b5f908,Environment,Production
lambda-function-3f46b1b5f908,CostCenter,Pharma-3588
lambda-function-3f46b1b5f908,UseCase,Enterprise Integration
lambda-function-3f46b1b5f908,AutoShutdown,weekends
lambda-function-3f46b1b5f908,Department,Engineering
lambda-function-3f46b1b5f908,Compliance:GDPR,in-scope
lambda-function-3f46b1b5f908,ComplianceStatus,non-compliant
lambda-function-3f46b1b5f908,AutoScaling,disabled
lambda-function-3f46b1b5f908,IaC,false
lambda-function-3f46b1b5f908,AllowSpotInstance,true
lambda-function-3f46b1b5f908,ScheduledDowntime,weekends
lambda-function-3f46b1b5f908,OptimizationPriority,balanced
lambda-function-3f46b1b5f908,MemorySize,256
lambda-function-3f46b1b5f908,Timeout,60
lambda-function-3f46b1b5f908,EventSource,schedule
lambda-function-3f46b1b5f908,ServiceTier,lambda-premium
lambda-function-3f46b1b5f908,CostAllocation,Direct
lambda-function-3f46b1b5f908,ChargebackEntity,Pharma
lambda-function-3f46b1b5f908,ShowbackCategory,Production
lambda-function-754fb03b2a58,Name,HealthcareDataInteroperabilityHub-Lambda
lambda-function-754fb03b2a58,Project,HealthcareDataInteroperabilityHub
lambda-function-754fb03b2a58,BusinessUnit,Pharma
lambda-function-754fb03b2a58,Environment,Production
lambda-function-754fb03b2a58,CostCenter,Pharma-1645
lambda-function-754fb03b2a58,UseCase,Enterprise Integration
lambda-function-754fb03b2a58,Requestor,product-team@example.com
lambda-function-754fb03b2a58,Compliance:PCI,in-scope
lambda-function-754fb03b2a58,ManagedBy,Manual
lambda-function-754fb03b2a58,IaC,false
lambda-function-754fb03b2a58,OptimizationPriority,availability
lambda-function-754fb03b2a58,BudgetAlert,high
lambda-function-754fb03b2a58,Rightsizing,optimized
lambda-function-754fb03b2a58,Runtime,dotnet6
lambda-function-754fb03b2a58,EventSource,dynamodb
lambda-function-754fb03b2a58,Timeout,30
lambda-function-754fb03b2a58,MemorySize,1024
lambda-function-754fb03b2a58,ServiceTier,lambda-standard
lambda-function-754fb03b2a58,Team,DataEngineering
lambda-function-754fb03b2a58,CostAllocation,Direct
lambda-function-754fb03b2a58,ChargebackEntity,Pharma
lambda-function-754fb03b2a58,ShowbackCategory,Production
lambda-function-0040ed98f19b,Name,HealthcareDataInteroperabilityHub-Lambda
lambda-function-0040ed98f19b,Project,HealthcareDataInteroperabilityHub
lambda-function-0040ed98f19b,BusinessUnit,Pharma
lambda-function-0040ed98f19b,Environment,Production
lambda-function-0040ed98f19b,CostCenter,Pharma-7242
lambda-function-0040ed98f19b,UseCase,Enterprise Integration
lambda-function-0040ed98f19b,BackupFrequency,none
lambda-function-0040ed98f19b,Version,2.0
lambda-function-0040ed98f19b,Requestor,product-team@example.com
lambda-function-0040ed98f19b,ComplianceStatus,exempted
lambda-function-0040ed98f19b,AutoScaling,enabled
lambda-function-0040ed98f19b,OptimizationPriority,cost
lambda-function-0040ed98f19b,AllowSpotInstance,false
lambda-function-0040ed98f19b,Runtime,go1.x
lambda-function-0040ed98f19b,EventSource,sqs
lambda-function-0040ed98f19b,Timeout,300
lambda-function-0040ed98f19b,MemorySize,2048
lambda-function-0040ed98f19b,ServiceTier,lambda-premium
lambda-function-0040ed98f19b,CostAllocation,Direct
lambda-function-0040ed98f19b,ChargebackEntity,Pharma
lambda-function-0040ed98f19b,ShowbackCategory,Production
ecs-resource-cbc6a98c,Name,HealthcareDataInteroperabilityHub-ECS
ecs-resource-cbc6a98c,Project,HealthcareDataInteroperabilityHub
ecs-resource-cbc6a98c,BusinessUnit,Pharma
ecs-resource-cbc6a98c,Environment,Production
ecs-resource-cbc6a98c,CostCenter,Pharma-1510
ecs-resource-cbc6a98c,UseCase,Enterprise Integration
ecs-resource-cbc6a98c,Department,IT
ecs-resource-cbc6a98c,Requestor,john.doe@example.com
ecs-resource-cbc6a98c,Compliance:SOX,in-scope
ecs-resource-cbc6a98c,SecurityLevel,low
ecs-resource-cbc6a98c,ManagedBy,Manual
ecs-resource-cbc6a98c,IaC,false
ecs-resource-cbc6a98c,ScheduledDowntime,custom
ecs-resource-cbc6a98c,BudgetAlert,low
ecs-resource-cbc6a98c,OptimizationPriority,cost
ecs-resource-cbc6a98c,CostAllocation,Direct
ecs-resource-cbc6a98c,ChargebackEntity,Pharma
ecs-resource-cbc6a98c,ShowbackCategory,Production
ecs-resource-ecabc0c8,Name,HealthcareDataInteroperabilityHub-ECS
ecs-resource-ecabc0c8,Project,HealthcareDataInteroperabilityHub
ecs-resource-ecabc0c8,BusinessUnit,Pharma
ecs-resource-ecabc0c8,Environment,Production
ecs-resource-ecabc0c8,CostCenter,Pharma-4522
ecs-resource-ecabc0c8,UseCase,Enterprise Integration
ecs-resource-ecabc0c8,AutoShutdown,nights
ecs-resource-ecabc0c8,DataClassification,public
ecs-resource-ecabc0c8,Department,Finance
ecs-resource-ecabc0c8,ComplianceStatus,exempted
ecs-resource-ecabc0c8,IaC,false
ecs-resource-ecabc0c8,ManagedBy,CloudOps
ecs-resource-ecabc0c8,AllowSpotInstance,true
ecs-resource-ecabc0c8,Rightsizing,exempt
ecs-resource-ecabc0c8,ServiceTier,ecs-basic
ecs-resource-ecabc0c8,CostAllocation,Direct
ecs-resource-ecabc0c8,ChargebackEntity,Pharma
ecs-resource-ecabc0c8,ShowbackCategory,Production
ecs-resource-61cf8c29,Name,HealthcareDataInteroperabilityHub-ECS
ecs-resource-61cf8c29,Project,HealthcareDataInteroperabilityHub
ecs-resource-61cf8c29,BusinessUnit,Pharma
ecs-resource-61cf8c29,Environment,Production
ecs-resource-61cf8c29,CostCenter,Pharma-1982
ecs-resource-61cf8c29,UseCase,Enterprise Integration
ecs-resource-61cf8c29,Version,3.0
ecs-resource-61cf8c29,AutoShutdown,weekends
ecs-resource-61cf8c29,SecurityLevel,medium
ecs-resource-61cf8c29,ComplianceStatus,under-review
ecs-resource-61cf8c29,Compliance:PCI,in-scope
ecs-resource-61cf8c29,CreatedBy,Ansible
ecs-resource-61cf8c29,Rightsizing,optimized
ecs-resource-61cf8c29,BudgetAlert,high
ecs-resource-61cf8c29,ServiceTier,ecs-enterprise
ecs-resource-61cf8c29,CostAllocation,Direct
ecs-resource-61cf8c29,ChargebackEntity,Pharma
ecs-resource-61cf8c29,ShowbackCategory,Production
kms-resource-79e89ea7,Name,HealthcareDataInteroperabilityHub-KMS
kms-resource-79e89ea7,Project,HealthcareDataInteroperabilityHub
kms-resource-79e89ea7,BusinessUnit,Pharma
kms-resource-79e89ea7,Environment,Production
kms-resource-79e89ea7,CostCenter,Pharma-1307
kms-resource-79e89ea7,UseCase,Enterprise Integration
kms-resource-79e89ea7,AutoShutdown,weekends
kms-resource-79e89ea7,DataClassification,public
kms-resource-79e89ea7,Department,IT
kms-resource-79e89ea7,Compliance:SOX,out-of-scope
kms-resource-79e89ea7,Compliance:PCI,out-of-scope
kms-resource-79e89ea7,CreatedBy,Terraform
kms-resource-79e89ea7,AutoScaling,enabled
kms-resource-79e89ea7,ScheduledDowntime,weekends
kms-resource-79e89ea7,Rightsizing,exempt
kms-resource-79e89ea7,BudgetAlert,high
kms-resource-79e89ea7,ServiceTier,kms-premium
kms-resource-79e89ea7,Team,Infrastructure
kms-resource-79e89ea7,CostAllocation,Shared
kms-resource-79e89ea7,AllocationMethod,equal
kms-resource-79e89ea7,ChargebackEntity,Pharma
kms-resource-79e89ea7,ShowbackCategory,Production
kms-resource-9ec624af,Name,HealthcareDataInteroperabilityHub-KMS
kms-resource-9ec624af,Project,HealthcareDataInteroperabilityHub
kms-resource-9ec624af,BusinessUnit,Pharma
kms-resource-9ec624af,Environment,Production
kms-resource-9ec624af,CostCenter,Pharma-2251
kms-resource-9ec624af,UseCase,Enterprise Integration
kms-resource-9ec624af,Version,1.0
kms-resource-9ec624af,BackupFrequency,hourly
kms-resource-9ec624af,Compliance:PCI,in-scope
kms-resource-9ec624af,ComplianceStatus,non-compliant
kms-resource-9ec624af,SecurityLevel,critical
kms-resource-9ec624af,AutoScaling,disabled
kms-resource-9ec624af,Rightsizing,oversized
kms-resource-9ec624af,BudgetAlert,medium
kms-resource-9ec624af,ServiceTier,kms-enterprise
kms-resource-9ec624af,Team,DataEngineering
kms-resource-9ec624af,CostAllocation,Shared
kms-resource-9ec624af,AllocationMethod,equal
kms-resource-9ec624af,ChargebackEntity,Pharma
kms-resource-9ec624af,ShowbackCategory,Production
kms-resource-270ee959,Name,HealthcareDataInteroperabilityHub-KMS
kms-resource-270ee959,Project,HealthcareDataInteroperabilityHub
kms-resource-270ee959,BusinessUnit,Pharma
kms-resource-270ee959,Environment,Production
kms-resource-270ee959,CostCenter,Pharma-5500
